site,plot,common.name,scientific.name,family,assessment.method,season,recapture,lifestyle,date
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryA,Delicate Skink,Lampropholis delicata,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryA,Delicate Skink,Lampropholis delicata,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Eastern Earless Skink,Hemiergis talbingoensis talbingoensis,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,WetA,Delicate Skink,Lampropholis delicata,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,WetB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,WetB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,DryB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Eastern Earless Skink,Hemiergis talbingoensis talbingoensis,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Weasel Skink,Saproscincus mustelinus,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Weasel Skink,Saproscincus mustelinus,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetB,Eastern Earless Skink,Hemiergis talbingoensis talbingoensis,Scincidae,funnel,fall.2021,,terrestrial,21/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,21/4/2021
Duval,DryB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,22/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,22/4/2021
Duval,WetA,Red-bellied Black Snake,Pseudechis porphyriacus,Elapidae,funnel,fall.2021,,terrestrial,22/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,y,terrestrial,22/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,23/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,23/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,23/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,23/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,23/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,23/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,23/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,24/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryA,Weasel Skink,Saproscincus mustelinus,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Eastern Earless Skink,Hemiergis talbingoensis talbingoensis,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,y,terrestrial,24/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,24/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,25/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,y,terrestrial,25/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,25/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,25/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,25/4/2021
Tarcutta,WetB,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,,terrestrial,30/4/2021
Tarcutta,WetB,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,,terrestrial,30/4/2021
Tarcutta,DryA,Inland Snake-eye Skink,Cryptoblepharus australis,Scincidae,cover board,fall.2021,,arboreal,1/5/2021
Tarcutta,WetA,Ragged Snake-eye Skink,Cryptoblepharus pannosus,Scincidae,cover board,fall.2021,,arboreal,1/5/2021
Tarcutta,WetA,Ragged Snake-eye Skink,Cryptoblepharus pannosus,Scincidae,cover board,fall.2021,,arboreal,1/5/2021
Tarcutta,WetA,Eastern Morethia,Morethia boulengeri,Scincidae,funnel,fall.2021,,terrestrial,1/5/2021
Tarcutta,WetA,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,,terrestrial,1/5/2021
Tarcutta,WetA,Eastern Morethia,Morethia boulengeri,Scincidae,funnel,fall.2021,,terrestrial,1/5/2021
Tarcutta,WetB,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,pitfall,fall.2021,,terrestrial,1/5/2021
Tarcutta,DryA,Eastern Morethia,Morethia boulengeri,Scincidae,pitfall,fall.2021,,terrestrial,2/5/2021
Tarcutta,WetA,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,,terrestrial,2/5/2021
Tarcutta,DryB,Eastern Morethia,Morethia boulengeri,Scincidae,pitfall,fall.2021,,terrestrial,3/5/2021
Tarcutta,WetB,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,y,terrestrial,3/5/2021
Tarcutta,WetB,Southern Rainbow-skink,Carlia tetradactyla,Scincidae,funnel,fall.2021,y,terrestrial,3/5/2021
Tarcutta,WetA,Ragged Snake-eye Skink,Cryptoblepharus pannosus,Scincidae,cover board,fall.2021,,arboreal,4/5/2021
Tarcutta,WetA,Ragged Snake-eye Skink,Cryptoblepharus pannosus,Scincidae,cover board,fall.2021,y,arboreal,6/5/2021
Tarcutta,WetA,Ragged Snake-eye Skink,Cryptoblepharus pannosus,Scincidae,cover board,fall.2021,,arboreal,6/5/2021
Tarcutta,WetA,Eastern Morethia,Morethia boulengeri,Scincidae,funnel,fall.2021,,terrestrial,6/5/2021
Mourachan,DryA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,spotlighting,fall.2021,,terrestrial,10/5/2021
Mourachan,DryA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,funnel,fall.2021,,terrestrial,10/5/2021
Mourachan,DryA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,incidentals,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,incidentals,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,DryB,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,DryB,Eastern Stone Gecko,Diplodactylus vittatus,Diplodactylidae,incidentals,fall.2021,,arboreal,10/5/2021
Mourachan,WetA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,WetA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,WetA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,WetA,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,10/5/2021
Mourachan,WetA,Lace Goanna,Varanus varius,Varanidae,incidentals,fall.2021,,terrestrial,10/5/2021
Mourachan,WetA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Eastern Stone Gecko,Diplodactylus vittatus,Diplodactylidae,spotlighting,fall.2021,,arboreal,11/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,spotlighting,fall.2021,,terrestrial,11/5/2021
Mourachan,DryA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,spotlighting,fall.2021,,terrestrial,12/5/2021
Mourachan,DryB,Eastern Bearded Dragon,Pogona barbata,Agamidae,pitfall,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,incidentals,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,incidentals,fall.2021,,terrestrial,11/5/2021
Mourachan,WetA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,incidentals,fall.2021,,terrestrial,11/5/2021
Mourachan,WetB,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,12/5/2021
Mourachan,WetB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,pitfall,fall.2021,,terrestrial,11/5/2021
Mourachan,DryB,Broad-banded Sand-swimmer,Eremiascincus richardsonii,Scincidae,funnel,fall.2021,,terrestrial,12/5/2021
Mourachan,WetA,Lace Goanna,Varanus varius,Varanidae,camera,fall.2021,,terrestrial,12/5/2021
Mourachan,WetA,Box-patterned Ground Gecko,Lucasium steindachneri,Diplodactylidae,funnel,fall.2021,,terrestrial,12/5/2021
Mourachan,WetA,Dwyer's Snake,Suta dwyeri,Elapidae,spotlighting,fall.2021,,terrestrial,13/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,funnel,fall.2021,,terrestrial,13/5/2021
Mourachan,DryB,Brown-blazed Wedgesnout Ctenotus,Ctenotus allotropis,Scincidae,funnel,fall.2021,y,terrestrial,13/5/2021
Mourachan,DryB,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,14/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,14/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,14/5/2021
Mourachan,WetA,Eastern Beaked Gecko,Rhynchoedura ormsbyi,Diplodactylidae,spotlighting,fall.2021,,terrestrial,14/5/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,4/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,4/6/2021
Undara,DryB,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,4/6/2021
Undara,WetB,Orange-naped Snake,Furina ornata,Elapidae,spotlighting,fall.2021,,terrestrial,4/6/2021
Undara,DryA,Robust Rainbow-skink,Carlia schmeltzii,Scincidae,pitfall,fall.2021,,terrestrial,4/6/2021
Undara,DryB,Straight-browed Ctenotus,Ctenotus spaldingi,Scincidae,pitfall,fall.2021,,terrestrial,4/6/2021
Undara,WetA,Eastern Fat-tailed Gecko,Diplodactylus platyurus,Diplodactylidae,pitfall,fall.2021,,terrestrial,4/6/2021
Undara,WetA,Eastern Hooded Scaly-foot,Pygopus schraderi,Pygopodidae,funnel,fall.2021,,terrestrial,4/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,4/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,4/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,4/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,4/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,4/6/2021
Undara,WetA,Shaded-litter Rainbow-skink,Carlia munda,Scincidae,funnel,fall.2021,,terrestrial,4/6/2021
Undara,WetA,Robust Rainbow-skink,Carlia schmeltzii,Scincidae,funnel,fall.2021,,terrestrial,4/6/2021
Undara,WetA,Shaded-litter Rainbow-skink,Carlia munda,Scincidae,pitfall,fall.2021,,terrestrial,4/6/2021
Undara,DryA,Adams' Snake-eye Skink,Cryptoblepharus adamsi,Scincidae,cover board,fall.2021,,arboreal,5/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,6/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,6/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,6/6/2021
Undara,DryA,Shaded-litter Rainbow-skink,Carlia munda,Scincidae,funnel,fall.2021,,terrestrial,5/6/2021
Undara,DryA,Rough Knob-tailed Gecko,Nephrurus asper,Carphodactylidae,incidentals,fall.2021,,terrestrial,5/6/2021
Undara,DryB,Orange-naped Snake,Furina ornata,Elapidae,spotlighting,fall.2021,,terrestrial,6/6/2021
Undara,DryB,Copper-tailed Ctenotus,Ctenotus taeniolatus,Scincidae,funnel,fall.2021,,terrestrial,5/6/2021
Undara,WetA,Eastern Hooded Scaly-foot,Pygopus schraderi,Pygopodidae,funnel,fall.2021,y,terrestrial,5/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,5/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,y,arboreal,5/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,y,arboreal,5/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,cover board,fall.2021,,arboreal,6/6/2021
Undara,DryA,Pale-headed Snake,Hoplocephalus bitorquatus,Elapidae,incidentals,fall.2021,,arboreal,6/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,7/6/2021
Undara,DryA,Southern Spotted Python,Antaresia maculosa maculosa,Pythonidae,spotlighting,fall.2021,,terrestrial,7/6/2021
Undara,DryB,Tommy Roundhead,Diporiphora australis,Agamidae,pitfall,fall.2021,,terrestrial,6/6/2021
Undara,DryB,Bynoe's Gecko,Heteronotia binoei,Gekkonidae,incidentals,fall.2021,,terrestrial,6/6/2021
Undara,DryB,Bynoe's Gecko,Heteronotia binoei,Gekkonidae,incidentals,fall.2021,,terrestrial,6/6/2021
Undara,WetA,Dubious Gehyra,Gehyra dubia,Gekkonidae,incidentals,fall.2021,,arboreal,6/6/2021
Undara,WetB,Excitable Delma,Delma tincta,Pygopodidae,pitfall,fall.2021,,terrestrial,6/6/2021
Undara,WetB,Dubious Gehyra,Gehyra dubia,Gekkonidae,cover board,fall.2021,,arboreal,6/6/2021
Undara,WetB,Northern Brown Snake,Pseudonaja nuchalis,Elapidae,funnel,fall.2021,,terrestrial,6/6/2021
Undara,DryA,Shaded-litter Rainbow-skink,Carlia munda,Scincidae,funnel,fall.2021,,terrestrial,7/6/2021
Undara,DryA,Shaded-litter Rainbow-skink,Carlia munda,Scincidae,pitfall,fall.2021,,terrestrial,7/6/2021
Undara,DryA,Robust Rainbow-skink,Carlia schmeltzii,Scincidae,pitfall,fall.2021,,terrestrial,7/6/2021
Undara,DryA,Dubious Gehyra,Gehyra dubia,Gekkonidae,spotlighting,fall.2021,,arboreal,8/6/2021
Undara,DryB,Straight-browed Ctenotus,Ctenotus spaldingi,Scincidae,funnel,fall.2021,,terrestrial,7/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,y,arboreal,7/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,7/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,7/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,7/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,y,arboreal,7/6/2021
Undara,DryA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,,arboreal,8/6/2021
Undara,DryB,Eastern Fat-tailed Gecko,Diplodactylus platyurus,Diplodactylidae,pitfall,fall.2021,,terrestrial,8/6/2021
Undara,WetA,Zigzag Gecko,Amalosia rhombifer,Diplodactylidae,cover board,fall.2021,y,arboreal,8/6/2021
